Date,Location,Vehicle_Model,Units_Sold,Average_Price,Customer_Sentiment
2024-01-01 00:00:00,Berlin,BMW 3 Series,16,32687,Negative
2024-01-02 00:00:00,Berlin,Audi A4,26,59569,Negative
2024-01-03 00:00:00,Berlin,Volvo XC90,27,50523,Positive
2024-01-04 00:00:00,Berlin,Mercedes-Benz C-Class,25,43257,Negative
2024-01-05 00:00:00,Berlin,Porsche 911,19,52544,Neutral
2024-01-06 00:00:00,Berlin,BMW 3 Series,21,44499,Positive
2024-01-07 00:00:00,Berlin,Audi A4,27,49201,Neutral
2024-01-08 00:00:00,Berlin,Volvo XC90,28,35619,Negative
2024-01-09 00:00:00,Berlin,Mercedes-Benz C-Class,26,52689,Positive
2024-01-10 00:00:00,Berlin,Porsche 911,24,42475,Negative
2024-01-11 00:00:00,Berlin,BMW 3 Series,7,43007,Negative
2024-01-12 00:00:00,Berlin,Audi A4,15,37314,Negative
2024-01-13 00:00:00,Berlin,Volvo XC90,7,45218,Neutral
2024-01-14 00:00:00,Berlin,Mercedes-Benz C-Class,23,36954,Neutral
2024-01-15 00:00:00,Berlin,Porsche 911,29,49547,Positive
2024-01-16 00:00:00,Berlin,BMW 3 Series,25,57957,Negative
2024-01-17 00:00:00,Berlin,Audi A4,23,51167,Positive
2024-01-18 00:00:00,Berlin,Volvo XC90,12,50211,Negative
2024-01-19 00:00:00,Berlin,Mercedes-Benz C-Class,19,44073,Neutral
2024-01-20 00:00:00,Berlin,Porsche 911,11,57622,Positive
2024-01-21 00:00:00,Berlin,BMW 3 Series,28,50162,Neutral
2024-01-22 00:00:00,Berlin,Audi A4,27,43717,Negative
2024-01-23 00:00:00,Berlin,Volvo XC90,11,46037,Neutral
2024-01-24 00:00:00,Berlin,Mercedes-Benz C-Class,21,32318,Neutral
2024-01-25 00:00:00,Berlin,Porsche 911,13,59084,Positive
2024-01-26 00:00:00,Berlin,BMW 3 Series,6,46977,Neutral
2024-01-27 00:00:00,Berlin,Audi A4,27,42993,Positive
2024-01-28 00:00:00,Berlin,Volvo XC90,14,41669,Positive
2024-01-29 00:00:00,Berlin,Mercedes-Benz C-Class,11,40863,Positive
2024-01-30 00:00:00,Berlin,Porsche 911,28,47410,Positive
2024-01-31 00:00:00,Berlin,BMW 3 Series,27,42728,Positive
2024-02-01 00:00:00,Berlin,Audi A4,9,49209,Negative
2024-02-02 00:00:00,Berlin,Volvo XC90,18,39232,Positive
2024-02-03 00:00:00,Berlin,Mercedes-Benz C-Class,10,40404,Negative
2024-02-04 00:00:00,Berlin,Porsche 911,17,33713,Positive
2024-02-05 00:00:00,Berlin,BMW 3 Series,25,39998,Negative
2024-02-06 00:00:00,Berlin,Audi A4,27,32982,Neutral
2024-02-07 00:00:00,Berlin,Volvo XC90,26,53938,Neutral
2024-02-08 00:00:00,Berlin,Mercedes-Benz C-Class,11,51347,Negative
2024-02-09 00:00:00,Berlin,Porsche 911,25,45849,Negative
2024-02-10 00:00:00,Berlin,BMW 3 Series,22,30710,Negative
2024-02-11 00:00:00,Berlin,Audi A4,13,52768,Negative
2024-02-12 00:00:00,Berlin,Volvo XC90,14,55177,Positive
2024-02-13 00:00:00,Berlin,Mercedes-Benz C-Class,20,38352,Positive
2024-02-14 00:00:00,Berlin,Porsche 911,13,53094,Positive
2024-02-15 00:00:00,Berlin,BMW 3 Series,10,59929,Negative
2024-02-16 00:00:00,Berlin,Audi A4,29,47134,Negative
2024-02-17 00:00:00,Berlin,Volvo XC90,14,39186,Positive
2024-02-18 00:00:00,Berlin,Mercedes-Benz C-Class,26,43045,Negative
2024-02-19 00:00:00,Berlin,Porsche 911,5,36255,Negative
2024-02-20 00:00:00,Berlin,BMW 3 Series,12,42326,Negative
2024-02-21 00:00:00,Berlin,Audi A4,11,32207,Neutral
2024-02-22 00:00:00,Berlin,Volvo XC90,19,59266,Positive
2024-02-23 00:00:00,Berlin,Mercedes-Benz C-Class,8,33801,Positive
2024-02-24 00:00:00,Berlin,Porsche 911,25,51802,Neutral
2024-02-25 00:00:00,Berlin,BMW 3 Series,11,53331,Neutral
2024-02-26 00:00:00,Berlin,Audi A4,22,34356,Negative
2024-02-27 00:00:00,Berlin,Volvo XC90,14,45543,Negative
2024-02-28 00:00:00,Berlin,Mercedes-Benz C-Class,13,59055,Negative
2024-02-29 00:00:00,Berlin,Porsche 911,13,45820,Negative
2024-03-01 00:00:00,Berlin,BMW 3 Series,27,53553,Negative
2024-03-02 00:00:00,Berlin,Audi A4,24,31149,Positive
2024-03-03 00:00:00,Berlin,Volvo XC90,26,54566,Positive
2024-03-04 00:00:00,Berlin,Mercedes-Benz C-Class,14,55734,Neutral
2024-03-05 00:00:00,Berlin,Porsche 911,16,31886,Neutral
2024-03-06 00:00:00,Berlin,BMW 3 Series,10,30136,Negative
2024-03-07 00:00:00,Berlin,Audi A4,5,39228,Positive
2024-03-08 00:00:00,Berlin,Volvo XC90,20,52806,Positive
2024-03-09 00:00:00,Berlin,Mercedes-Benz C-Class,12,46177,Positive
2024-03-10 00:00:00,Berlin,Porsche 911,16,59076,Positive
2024-03-11 00:00:00,Berlin,BMW 3 Series,28,47420,Neutral
2024-03-12 00:00:00,Berlin,Audi A4,28,49275,Negative
2024-03-13 00:00:00,Berlin,Volvo XC90,29,56665,Positive
2024-03-14 00:00:00,Berlin,Mercedes-Benz C-Class,22,53320,Negative
2024-03-15 00:00:00,Berlin,Porsche 911,19,35701,Neutral
2024-03-16 00:00:00,Berlin,BMW 3 Series,26,46225,Positive
2024-03-17 00:00:00,Berlin,Audi A4,12,45048,Positive
2024-03-18 00:00:00,Berlin,Volvo XC90,17,39256,Negative
2024-03-19 00:00:00,Berlin,Mercedes-Benz C-Class,15,43038,Neutral
2024-03-20 00:00:00,Berlin,Porsche 911,8,48901,Neutral
2024-03-21 00:00:00,Berlin,BMW 3 Series,29,55970,Positive
2024-03-22 00:00:00,Berlin,Audi A4,16,34578,Neutral
2024-03-23 00:00:00,Berlin,Volvo XC90,17,35839,Positive
2024-03-24 00:00:00,Berlin,Mercedes-Benz C-Class,25,53722,Positive
2024-03-25 00:00:00,Berlin,Porsche 911,28,43738,Negative
2024-03-26 00:00:00,Berlin,BMW 3 Series,6,59872,Negative
2024-03-27 00:00:00,Berlin,Audi A4,6,40335,Negative
2024-03-28 00:00:00,Berlin,Volvo XC90,7,41954,Negative
2024-03-29 00:00:00,Berlin,Mercedes-Benz C-Class,5,35914,Positive
2024-03-30 00:00:00,Berlin,Porsche 911,23,42070,Positive
2024-03-31 00:00:00,Berlin,BMW 3 Series,8,52865,Neutral
2024-04-01 00:00:00,Berlin,Audi A4,24,50031,Positive
2024-04-02 00:00:00,Berlin,Volvo XC90,19,56693,Positive
2024-04-03 00:00:00,Berlin,Mercedes-Benz C-Class,17,32416,Positive
2024-04-04 00:00:00,Berlin,Porsche 911,10,54421,Neutral
2024-04-05 00:00:00,Berlin,BMW 3 Series,6,46966,Positive
2024-04-06 00:00:00,Berlin,Audi A4,17,31232,Positive
2024-04-07 00:00:00,Berlin,Volvo XC90,20,37699,Positive
2024-04-08 00:00:00,Berlin,Mercedes-Benz C-Class,24,39030,Positive
2024-04-09 00:00:00,Berlin,Porsche 911,8,36221,Positive
2024-04-10 00:00:00,Berlin,BMW 3 Series,26,45857,Positive
2024-04-11 00:00:00,Berlin,Audi A4,6,46654,Positive
2024-04-12 00:00:00,Berlin,Volvo XC90,20,31222,Negative
2024-04-13 00:00:00,Berlin,Mercedes-Benz C-Class,6,43560,Negative
2024-04-14 00:00:00,Berlin,Porsche 911,19,41228,Neutral
2024-04-15 00:00:00,Berlin,BMW 3 Series,13,35560,Positive
2024-04-16 00:00:00,Berlin,Audi A4,15,45528,Negative
2024-04-17 00:00:00,Berlin,Volvo XC90,10,34894,Negative
2024-04-18 00:00:00,Berlin,Mercedes-Benz C-Class,12,34101,Negative
2024-04-19 00:00:00,Berlin,Porsche 911,11,44954,Positive
2024-04-20 00:00:00,Berlin,BMW 3 Series,22,33138,Negative
2024-04-21 00:00:00,Berlin,Audi A4,28,43059,Neutral
2024-04-22 00:00:00,Berlin,Volvo XC90,15,50818,Neutral
2024-04-23 00:00:00,Berlin,Mercedes-Benz C-Class,24,53962,Negative
2024-04-24 00:00:00,Berlin,Porsche 911,22,41663,Positive
2024-04-25 00:00:00,Berlin,BMW 3 Series,17,35871,Positive
2024-04-26 00:00:00,Berlin,Audi A4,20,36392,Negative
2024-04-27 00:00:00,Berlin,Volvo XC90,5,37357,Negative
2024-04-28 00:00:00,Berlin,Mercedes-Benz C-Class,18,48069,Neutral
2024-04-29 00:00:00,Berlin,Porsche 911,7,59748,Neutral
2024-04-30 00:00:00,Berlin,BMW 3 Series,22,45205,Neutral
2024-05-01 00:00:00,Berlin,Audi A4,20,58244,Negative
2024-05-02 00:00:00,Berlin,Volvo XC90,17,31373,Positive
2024-05-03 00:00:00,Berlin,Mercedes-Benz C-Class,14,45411,Negative
2024-05-04 00:00:00,Berlin,Porsche 911,23,34603,Positive
2024-05-05 00:00:00,Berlin,BMW 3 Series,12,57724,Negative
2024-05-06 00:00:00,Berlin,Audi A4,18,37648,Positive
2024-05-07 00:00:00,Berlin,Volvo XC90,15,51373,Neutral
2024-05-08 00:00:00,Berlin,Mercedes-Benz C-Class,14,47648,Neutral
2024-05-09 00:00:00,Berlin,Porsche 911,18,42463,Neutral
2024-05-10 00:00:00,Berlin,BMW 3 Series,6,34024,Positive
2024-05-11 00:00:00,Berlin,Audi A4,24,55316,Positive
2024-05-12 00:00:00,Berlin,Volvo XC90,29,56523,Negative
2024-05-13 00:00:00,Berlin,Mercedes-Benz C-Class,29,40207,Positive
2024-05-14 00:00:00,Berlin,Porsche 911,11,57218,Neutral
